Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
28827,2017,François FILLON,François FILLON,True
17138,2017,Emmanuel MACRON,Emmanuel MACRON,True
34681,2017,Marine LE PEN,Marine LE PEN,True
31401,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
35637,2017,Emmanuel MACRON,Emmanuel MACRON,True
5709,2022,Emmanuel MACRON,Emmanuel MACRON,True
33231,2022,Emmanuel MACRON,Emmanuel MACRON,True
34559,2022,Marine LE PEN,Marine LE PEN,True
953,2022,Marine LE PEN,Marine LE PEN,True
27590,2022,Marine LE PEN,Marine LE PEN,True
15249,2017,Emmanuel MACRON,Emmanuel MACRON,True
30277,2017,Marine LE PEN,Marine LE PEN,True
20542,2017,Emmanuel MACRON,François FILLON,False
293,2022,Marine LE PEN,Marine LE PEN,True
23484,2022,Marine LE PEN,Marine LE PEN,True
262,2017,Marine LE PEN,Marine LE PEN,True
23586,2022,Emmanuel MACRON,Emmanuel MACRON,True
4973,2017,François FILLON,François FILLON,True
8158,2017,Marine LE PEN,Marine LE PEN,True
29344,2017,Marine LE PEN,Marine LE PEN,True
1744,2017,François FILLON,Jean-Luc MÉLENCHON,False
8111,2022,Emmanuel MACRON,Emmanuel MACRON,True
11005,2017,François FILLON,François FILLON,True
10536,2017,Emmanuel MACRON,Emmanuel MACRON,True
1763,2022,Marine LE PEN,Marine LE PEN,True
30289,2017,Marine LE PEN,Marine LE PEN,True
20636,2022,Marine LE PEN,Marine LE PEN,True
2077,2017,Marine LE PEN,Marine LE PEN,True
5343,2022,Marine LE PEN,Marine LE PEN,True
9267,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
8661,2017,Emmanuel MACRON,François FILLON,False
25941,2022,Marine LE PEN,Marine LE PEN,True
25306,2022,Emmanuel MACRON,Emmanuel MACRON,True
18278,2017,Marine LE PEN,Marine LE PEN,True
16974,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
250,2017,Marine LE PEN,Marine LE PEN,True
31126,2017,Marine LE PEN,Marine LE PEN,True
10793,2022,Marine LE PEN,Marine LE PEN,True
10740,2022,Jean LASSALLE,Emmanuel MACRON,False
20467,2017,Marine LE PEN,Marine LE PEN,True
9347,2017,François FILLON,Jean-Luc MÉLENCHON,False
32289,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
14538,2017,Marine LE PEN,Marine LE PEN,True
21857,2022,Marine LE PEN,Marine LE PEN,True
