Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
31911,2022,Marine LE PEN,Marine LE PEN,True
20632,2017,Marine LE PEN,Marine LE PEN,True
20163,2022,Marine LE PEN,Marine LE PEN,True
31239,2022,Marine LE PEN,Marine LE PEN,True
24824,2017,Emmanuel MACRON,Emmanuel MACRON,True
22155,2017,Marine LE PEN,Marine LE PEN,True
30609,2022,Marine LE PEN,Marine LE PEN,True
8360,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
9030,2017,François FILLON,François FILLON,True
30428,2017,Marine LE PEN,Marine LE PEN,True
24973,2017,Marine LE PEN,Marine LE PEN,True
19230,2022,Marine LE PEN,Marine LE PEN,True
24467,2022,Emmanuel MACRON,Emmanuel MACRON,True
29307,2022,Marine LE PEN,Marine LE PEN,True
17372,2017,Marine LE PEN,Marine LE PEN,True
3850,2017,Marine LE PEN,Marine LE PEN,True
23607,2017,François FILLON,François FILLON,True
31493,2022,Marine LE PEN,Marine LE PEN,True
17286,2017,François FILLON,François FILLON,True
26962,2017,Marine LE PEN,Marine LE PEN,True
6017,2022,Emmanuel MACRON,Emmanuel MACRON,True
30258,2017,Marine LE PEN,Marine LE PEN,True
1580,2017,Marine LE PEN,Marine LE PEN,True
21906,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
24537,2017,Marine LE PEN,Marine LE PEN,True
17876,2022,Emmanuel MACRON,Emmanuel MACRON,True
21263,2017,Emmanuel MACRON,Emmanuel MACRON,True
20884,2017,Emmanuel MACRON,Emmanuel MACRON,True
26598,2022,Marine LE PEN,Marine LE PEN,True
20575,2017,Marine LE PEN,Marine LE PEN,True
12889,2022,Marine LE PEN,Marine LE PEN,True
22011,2017,Marine LE PEN,Marine LE PEN,True
12759,2022,Marine LE PEN,Marine LE PEN,True
12692,2017,Emmanuel MACRON,Emmanuel MACRON,True
720,2017,Marine LE PEN,Marine LE PEN,True
16986,2022,Emmanuel MACRON,Emmanuel MACRON,True
28668,2022,Emmanuel MACRON,Emmanuel MACRON,True
27491,2017,François FILLON,François FILLON,True
13726,2022,Marine LE PEN,Marine LE PEN,True
586,2017,Marine LE PEN,Marine LE PEN,True
14154,2022,Marine LE PEN,Marine LE PEN,True
12587,2022,Marine LE PEN,Marine LE PEN,True
14173,2022,Emmanuel MACRON,Emmanuel MACRON,True
2548,2022,Marine LE PEN,Marine LE PEN,True
14489,2017,Emmanuel MACRON,Emmanuel MACRON,True
9875,2022,Marine LE PEN,Marine LE PEN,True
819,2022,Marine LE PEN,Marine LE PEN,True
30519,2017,Marine LE PEN,Marine LE PEN,True
24927,2022,Marine LE PEN,Marine LE PEN,True
30509,2017,Emmanuel MACRON,François FILLON,False
20388,2022,Marine LE PEN,Marine LE PEN,True
3433,2017,Marine LE PEN,Marine LE PEN,True
17821,2022,Emmanuel MACRON,Emmanuel MACRON,True
32975,2022,Emmanuel MACRON,Emmanuel MACRON,True
7649,2017,Emmanuel MACRON,Emmanuel MACRON,True
14114,2017,Marine LE PEN,Marine LE PEN,True
17822,2017,Marine LE PEN,Marine LE PEN,True
25432,2017,Emmanuel MACRON,Emmanuel MACRON,True
1351,2017,Emmanuel MACRON,Emmanuel MACRON,True
13451,2022,Marine LE PEN,Marine LE PEN,True
12091,2022,Marine LE PEN,Marine LE PEN,True
12592,2022,Emmanuel MACRON,Emmanuel MACRON,True
20297,2022,Marine LE PEN,Marine LE PEN,True
19605,2022,Emmanuel MACRON,Emmanuel MACRON,True
923,2022,Marine LE PEN,Marine LE PEN,True
14510,2022,Marine LE PEN,Marine LE PEN,True
5859,2022,Marine LE PEN,Marine LE PEN,True
26525,2017,Marine LE PEN,Marine LE PEN,True
18568,2017,Marine LE PEN,Marine LE PEN,True
4586,2017,François FILLON,Emmanuel MACRON,False
11727,2022,Marine LE PEN,Marine LE PEN,True
33115,2022,Marine LE PEN,Marine LE PEN,True
6708,2022,Jean LASSALLE,Emmanuel MACRON,False
24841,2022,Marine LE PEN,Marine LE PEN,True
1005,2017,Marine LE PEN,Marine LE PEN,True
25649,2022,Jean LASSALLE,Emmanuel MACRON,False
9216,2022,Emmanuel MACRON,Emmanuel MACRON,True
8983,2022,Emmanuel MACRON,Emmanuel MACRON,True
19822,2017,Marine LE PEN,Marine LE PEN,True
24656,2022,Marine LE PEN,Marine LE PEN,True
28815,2022,Marine LE PEN,Marine LE PEN,True
8324,2022,Emmanuel MACRON,Emmanuel MACRON,True
5741,2022,Marine LE PEN,Marine LE PEN,True
8611,2017,Marine LE PEN,Marine LE PEN,True
